,label,text,label_none,label_soft,label_tech,label_code
0,none,"Standort Trovarit AG München, Deutschland",1,0,0,0
1,none,Wir freuen uns auf Ihre Bewerbung unter Angabe Ihrer Gehaltsvorstellung und Ihres möglichen Eintrittstermins. Der ALTE LEIPZIGER – HALLESCHE Konzern begrüßt ausdrücklich die Bewerbung von Menschen mit Behinderung. Bei Fragen und für weitere Informationen wenden Sie sich gerne an Elke Lang unter 0711-6603-2411 . Ihre ausführlichen Bewerbungsunterlagen senden Sie bitte an bewerbung@hallesche.de oder per Post an: HALLESCHE Krankenversicherung a. G. Personal und Soziales Reinsburgstraße 10 70178 Stuttgart www.hallesche.de,1,0,0,0
2,tech,Qualifikation zur Heimleitung gemäß Heimpersonalverordnung,0,0,1,2
3,soft,Gute organisatorische und konzeptionelle Fähigkeiten,0,1,0,1
4,soft,"Teamfähigkeit, hohe Flexibilität und Einsatzbereitschaft.",0,1,0,1
5,soft,Überdurchschnittliche Einsatzbereitschaft,0,1,0,1
6,none,HomeIhre Karriere bei LeasePlanStellenangeboteSachbearbeiter/in Vertriebskoordination Händlerbetreuung LeasePlan SME,1,0,0,0
7,tech,Steuerkenntnisse sind sehr wünschenswert,0,0,1,2
8,soft,Kreativität und schnelle Auffassungsgabe,0,1,0,1
9,none,budget/forecast/prior year/prior month) and provide explanations for the management,1,0,0,0
10,none,tabellarischem Lebenslauf,1,0,0,0
11,none,"Kontakt Das ist die abwechslungsreiche Herausforderung, die Sie suchen? Dann freuen wir uns auf Ihre Bewerbung - gerne online oder per E-Mail unter der Kennziffer STE78-51262-B bei Frau Victoria Herzer. Denn was für unsere Kunden gilt, gilt für Sie schon lange: Wir entwickeln Sie weiter. FERCHAU Engineering GmbH Niederlassung Berlin 10779 Berlin Frau Victoria Herzer +49 30 3974799-0 +49 30 3974799-29 berlin@ferchau.com",1,0,0,0
12,none,Bei Bedarf erfolgt der Einsatz auch an den Kooperationsstandorten sowie in den Tochtergesellschaften vom BG Klinikum Hamburg.,1,0,0,0
13,tech,"Kenntnisse von in der Web-Entwicklung üblichen Sprachen, Protokollen und Formaten wie Java, HTTP oder JSON",0,0,1,2
14,soft,Starke Konzentrationsfähigkeit,0,1,0,1
15,tech,Idealerweise Kenntnisse im Bereich der digitalen Signalverarbeitung.,0,0,1,2
16,soft,"Freude am Kundenkontakt, eine hohe Kunden- und Serviceorientierung sowie ausgeprägte kommunikative Fähigkeiten zeichnen Sie aus.",0,1,0,1
17,none,ÜBER UNS,1,0,0,0
